x_muoi,y_muoi,huong_muoi,huong_ban
-109.44408181895648,140.34990755160177,90,40
-106.27924641333313,94.36504963311098,78,5
-126.00390423322128,3.26106359176403,-63,-80
-92.87362647099268,145.90560442460645,-21,-30
-89.13731961198215,61.5651071811346,-40,-45
168.34396715809035,124.76983119755657,-104,65
45.865330600317556,-9.842465453704868,-117,130
142.31343866425277,-58.08826873511826,2,105
28.95341646514938,-26.717641340001137,-140,125
154.24652505919013,-141.08566352684576,132,135
193.34020892450727,20.253269138988728,128,80
28.110589780944263,36.780059122531036,-33,25
-38.98805665793108,18.558418580715866,-103,-55
-150.00742171972743,45.985201578450116,-178,-75
140.35097639032645,-161.01837775418258,34,140
-207.30968919568454,-117.3842918017952,21,-120
173.1501176203107,77.75164367325908,88,125
190.04742362926547,125.65490946330372,-134,150
-67.03636291213867,-79.68133966272822,-27,-130
-48.89831230667382,-3.489799231641774,99,-110
-29.37532001360896,125.40737706460094,-46,-135
9.507261091464063,-160.0634407830873,23.000000000000014,180
87.74954540041759,-109.78107960379192,-79,135
-111.28330197473879,89.9785337181916,-68,-95
-59.3496319388245,-83.99279872521768,80,-135
163.89387475369145,-95.31422913794277,48,125
-133.3831128256722,-132.22796069065754,-125,-125
105.97034450088314,62.34962200182394,126,55
17.57325769619228,50.707416300635785,-133,5
-159.50644155789982,98.91688455633015,133,-130
70.88664757717552,-142.45561957817142,-1,145
132.2571411450152,-16.890945729615204,29,90
187.97072910605675,85.52271559507716,-122,140
-148.00296119350952,-149.34614194853512,108,-140
-13.343516494287677,131.93602923183678,-157,110
-55.18965787762195,-55.93265871528625,168,-150
-200.02713098894944,-85.04954226740483,41,-120
-199.48064569509543,22.866175217435337,-103,-65
-187.49775119847328,36.84598855818245,142,-40
103.64280741267936,84.83856269439298,10,65
-215.4638618300226,2.6710629579162806,28.999999999999993,-90
-171.84971220056764,-82.0432748940756,111,-120
-100.61317792642404,-106.81654808077596,112,-135
177.01953203251978,-130.29831672090893,88,135
17.846865887056353,-25.762765177777524,-126,110
-96.95949774411231,102.41348480941757,-76,10
-195.7121771305989,-85.01185095332796,174,-105
86.69148888363306,66.03697176479814,88,40
87.11717083686624,-87.38000864678085,-59,145
-212.54065045171126,102.37960265663835,-126,-50
103.81156298987253,19.991501904127745,-161,90
-29.823973529326352,56.066442572290576,-14,-45
12.184822624406927,-79.8002443035492,-50,175
105.72113496318164,-21.78663057665186,-64,105
60.58642786983682,-103.17872381088127,-165,160
-95.03053542282505,-64.23184205105717,-60,-130
-73.93997050982541,67.4212060349579,-31,-15
-163.72205773194145,42.74290506175495,111.00000000000001,-65
-185.22220264733076,-126.48944228502744,98,-120
44.21106015559387,-5.199273220064965,-36,75
109.49351281495782,101.19579078817068,-172,40
-17.858838445545114,0.47020290193210024,-89,-60
108.91448031117501,18.883679121175934,156,85
-68.05512027425226,48.8586260778115,6,-45
141.09835446606257,-48.217027391904836,-82,105
32.66575286142037,-142.67904688622716,90,170
177.28486704322324,145.34819353283876,-152,180
-97.28659564834255,69.70804305505649,87,-45
-1.0527970703102856,-23.85364820540858,-85,-140
66.39764087430194,92.94431805382867,101,47.000850677490234
-80.08185104710213,139.11274852635773,27,-23.22021484375
74.09781887905696,52.82870482710908,81,74.68759155273438
-204.39592286929232,9.212221004838149,49.999999999999986,-86.37586212158203
-139.96589550283375,-142.79154780538798,-14,-125
8.137090694427116,-145.77204959925493,-11.000000000000043,-175
136.49532951277672,43.94435892962206,-95,85
-165.96852660354034,78.62521118966254,49,20
198.44864798815013,-69.09080357574751,-177,110
117.70404628222374,-70.89353364707604,90,120
108.83117621689507,134.70986633942394,121,75
-154.52452249638765,-87.63383521493171,115,-125
-156.86984251431636,-32.73262643739901,-101,-105
-208.89259142564066,-102.04628662107264,-6,-120
-28.60419108243948,132.88222792782733,-59,-25
-164.13257508627407,-129.3415542718836,90,-125
211.4102124747114,-44.57370498608802,179,110
-155.54146323378072,104.66008501150498,143,10
153.73766594087496,74.17990400522885,131,-5
141.87350227385247,-142.5491760673474,-19.000000000000014,135
126.40665660923437,90.0304997916008,-167,85
-105.23964316260401,149.57687232436928,-89,30
-169.98314825416747,10.747456733467153,49,-85
220.71688433382215,-65.42818071271269,-127.99999999999997,110
-167.23951746079558,-134.6923203696102,-14.000000000000014,-130
21.303284698244823,-161.25723288056324,-48.00000000000003,180
-172.55221960806935,117.06602241150456,78.99999999999999,-45
208.19920364368758,-5.942033245050782,-3,100
195.82816260858291,98.06543815573951,-159,115
31.399678529193817,3.4560397839084454,-37,55
-57.09059786264736,30.483627814162908,128,-160
-79.8702937083173,47.5268017015463,87,165
-188.82224379928314,-28.94038422688792,-127,-110
-184.8167442812226,-70.16365241562242,90,-100
-141.21446786592452,1.568357663348591,148,-95
183.27092601954018,130.96424051029362,-136,65
-180.98353632516807,68.45058585059836,123,-65
132.59540193972438,160.53824619542422,-167,45
-130.68613286546875,-110.57659453055382,-18,-125
-15.981381228893438,59.21930147280559,152,-45
-30.90981446891309,98.66744028415467,140,-3.782047748565674
91.84641005655357,149.5483299989777,97,37.971282958984375
-201.80082360185912,26.769487271174075,-28,-74.93173217773438
106.50389133035696,18.86725758374611,-36,78.8284912109375
1.7327682641197022,74.9962986953877,128,7.460115909576416
-97.24520157421173,107.81859249856045,146,-32.973609924316406
-8.07246024357707,120.18622056562492,53,4.757750511169434
-65.23126271566215,63.045724855948016,60,-36.32625961303711
81.56896185902266,69.70498967936281,90,44.63886260986328
7.23757144808985,30.343498842661898,165,-1.3612918853759766
-220.8746029808302,-97.38651273850869,116.99999999999997,-103.95879364013672
54.205335436856856,8.754703468910948,-98,106.39888000488281
49.189205938350405,92.96106597376286,-171,41.68737030029297
58,91,90,23.157400131225586
-119.83884352156463,31.892481656249306,-28,-67.8207778930664
-170.0367325945291,36.55770960959942,-37,-70.17340850830078
8.781311359427328,148.60409559660397,102,8.521310806274414
72.00194065231936,49.01800257443924,141,43.68080520629883
89.50370776282412,0.3057171525094029,39,73.2653579711914
-119.8435230505426,11.629166732219467,86,-72.65796661376953
84.86209532986729,-33.79797720896027,-54,98.66227722167969
214.11302478900654,-66.58880429077911,-120.99999999999997,119.43889617919922
162.5890109655626,-75.88463825390029,-173,120.79464721679688
-134.57142285910163,151.70462273128675,-126,-47.120018005371094
-202.33850750830737,-26.726217787069515,90,-99.76272583007812
-112.13183506493384,51.33547088645147,119,-77.76521301269531
38.80697792021706,145.73523888687706,101.35201485493032,20.6928653717041
-7.237916438979521,98.84420633964518,67,5.510072708129883
-178.09344677721208,53.22647274713509,-24,-76.5171127319336
47.08522052466982,32.825955192449015,-158,73.19444274902344
24.444977356668577,135.4284057062798,-172,5.323612213134766
150.53976277756465,43.03628704705946,162,79.93475341796875
-77.50425403607886,41.42611944406878,16,-45.16902160644531
201.37772736605325,12.590257341077912,38,98.74068450927734
189.35213767332115,-118.81676309868075,-175,120.35489654541016
168.79503885370482,52.59223905388647,179,80.06756591796875
121.53714133760528,0.022908998696863137,-161,99.79093170166016
188.33201945860247,75.3140468889635,141,76.28083801269531
-5.255963556244821,17.13951308647905,157,-10.768518447875977
-188.417712594556,88.02733899852336,-40,-64.0542221069336
0.7989898732233325,112.20101012677668,135,-2.971421241760254
-131.6222707953965,135.72997340333845,-74,-53.59076690673828
-155,50,78.69006752597979,-67.58932495117188
-187.50408236509335,-40.03877279392806,131,-108.08126831054688
72.72312736416676,38.37814543470396,26,58.04151153564453
221.21445427547798,-80.32696121380175,-130,121.01581573486328
34.514976137667695,57.73136584542294,129,33.47511291503906
-92.39513823528554,76.58419909655018,85,-40.30548858642578
-178,153,78.69006752597979,-44.82606506347656
-211.49083429400955,-53.27579238927109,7,-93.36084747314453
189.1999143606912,-129.13417528068027,-155,125.38262939453125
47.39588029700246,1.9626379807133043,-100,56.02581024169922
-1.9887296383305806,29.94500826891429,105,7.969959259033203
10.192232721345796,27.190355812448388,-11,27.974565505981445
144.70154502789157,81.62989276850578,-13,52.672264099121094
61.19428326050298,46.631072760553,-142,60.54331970214844
-79.44523300354878,-15.307163661871384,64,-83.9821548461914
-143.44837621281698,81.82598438331205,24,-52.390342712402344
-81.19944458948002,59.39537861901846,90,-47.09130096435547
-169.46805658901013,60.407397528487756,172,-75.2848129272461
-107.07048592696654,54.361076681872305,69,-56.654930114746094
-187.26993222628252,-47.831556930234456,47.999999999999986,-90.20843505859375
115.07041862272372,-142.0921310623093,49,135
-133.9652393023659,137.07321360960125,167,115
-90.34414782094055,132.28800334901877,-63,120
145.38346816001297,118.23138973402234,-151,135
50.30649824963486,149.31621534147075,-34,10
135.50477796402407,-71.96679787003634,-81,110
88.41870842907873,-53.95488033132744,-166,115
-138.72198753760284,-31.23488935733742,-149,-110
-1.3267267736924535,-1.2744956751913916,-46,-35
48.412881318121734,-19.197690961096505,-73,135
-2.884208095944779,158.80065292897663,-23,-175
47.52605321843409,107.5149844991292,179,35
-24.183803542339795,-85.19478292616728,159,-170
-100.03807843429632,112.20663147440521,-99,-25
169.52362105061633,8.88904096542805,-52,105
115.60331357972615,-57.416821077836794,-129,125
94.16509611971163,113.5931863898711,-129,120
162.53639697000082,-27.22464797500748,90,155
0.3469477045203826,68.623080600513,126,20
72.3240920489377,30.186217004435168,-86,60
117.31964651900196,-71.67913596800962,129,130
-155.6164538425589,28.21815571407958,-71,-90
199.51691020897962,76.0841523049387,-166,60
-34.77286975968265,58.560428021085535,165,85
-114.7908137246778,144.21791091521152,-133,90
-137.01406137984998,69.49751194481416,-169,20
194.99596269386038,-5.937199743260145,27,100
153.97146461246922,-142.7576527993785,112,140
112.01976316703492,34.740017154083525,-130,85
1.6798814178829744,67.67906855044555,65,15
147.6018057575038,69.85811197248992,27,56.83275604248047
2.000702290844088,136.29504311041956,92,7.170950889587402
108.08338640884621,49.75850246519901,105,58.226104736328125
98.14396313391896,-106.86581804521359,70,135
-91.2099293183755,-40.15348883386079,135,-125
